,Timestamp,Working Electrode Voltage [V],Working Electrode Current [A],Temperature [C]
0,0.20031841000309214,-0.7207050919532776,0.0,0.0
1,0.400318409956526,-0.7199728488922119,0.0,0.0
2,0.6003183499560691,-0.7217820286750793,0.0,0.0
3,0.8003184800036252,-0.7229810953140259,0.0,0.0
4,1.000318470003549,-0.723861575126648,0.0,0.0
5,1.200318339979276,-0.7233490943908691,0.0,0.0
6,1.4003183500026353,-0.7227441072463989,0.0,0.0
7,1.6003183999564499,-0.7243704795837402,0.0,0.0
8,1.8003185099805705,-0.7255259156227112,0.0,0.0
9,2.000318349979352,-0.7259647250175476,0.0,0.0
10,2.2003183999913745,-0.728022038936615,0.0,0.0
11,2.4003184899920598,-0.7300020456314087,0.0,0.0
12,2.6003184099681675,-0.7304644584655762,0.0,0.0
13,2.800318409979809,-0.729232132434845,0.0,0.0
14,3.0003183399676345,-0.7282799482345581,0.0,0.0
15,3.2003183999913745,-0.7269918918609619,0.0,0.0
16,3.400318400003016,-0.7288719415664673,0.0,0.0
17,3.600318429991603,-0.7303957939147949,0.0,0.0
18,3.800318409979809,-0.7299196124076843,0.0,0.0
19,4.000318349979352,-0.7278282642364502,0.0,0.0
20,4.200318739982322,-0.7272438406944275,0.0,0.0
21,4.400318409956526,-0.7292840480804443,0.0,0.0
22,4.600318349956069,-0.7303746342658997,0.0,0.0
23,4.800318530004006,-0.730721116065979,0.0,0.0
24,5.000318420003168,-0.7305504679679871,0.0,0.0
25,5.2003183999913745,-0.7315188050270081,0.0,0.0
26,5.400318600004539,-0.7307971119880676,0.0,0.0
27,5.600318469980266,-0.730028510093689,0.0,0.0
28,5.800318399968091,-0.7292615175247192,0.0,0.0
29,6.000318399979733,-0.7298098802566528,0.0,0.0
30,6.200318419956602,-0.7310670614242554,0.0,0.0
31,6.400318929983769,-0.7299870848655701,0.0,0.0
32,6.600318429991603,-0.7278305888175964,0.0,0.0
33,6.8003184699919075,-0.7291243672370911,0.0,0.0
34,7.000318470003549,-0.7302111387252808,0.0,0.0
35,7.200318410003092,-0.7307632565498352,0.0,0.0
36,7.400318409956526,-0.7311158180236816,0.0,0.0
37,7.600318340002559,-0.7319680452346802,0.0,0.0
38,7.800318339955993,-0.7326934933662415,0.0,0.0
39,8.000318420003168,-0.7321854829788208,0.0,0.0
40,8.200318519957364,-0.7316046953201294,0.0,0.0
41,8.400318339990918,-0.7317125201225281,0.0,0.0
42,8.600318409968168,-0.7316910624504089,0.0,0.0
43,8.800318369991146,-0.7321643829345703,0.0,0.0
44,9.000318470003549,-0.7339881062507629,0.0,0.0
45,9.2003184799687,-0.7346322536468506,0.0,0.0
46,9.400318469968624,-0.7329928278923035,0.0,0.0
47,9.600318409968168,-0.731553316116333,0.0,0.0
48,9.800318399968091,-0.7305725812911987,0.0,0.0
49,10.000318470003549,-0.7322189807891846,0.0,0.0
50,10.200318410003092,-0.7334975004196167,0.0,0.0
51,10.400318409956526,-0.7326463460922241,0.0,0.0
52,10.600318409968168,-0.7280458211898804,0.0,0.0
53,10.800318439956754,-0.7297125458717346,0.0,0.0
54,11.000318920006976,-0.7316049933433533,0.0,0.0
55,11.200318469956983,-0.7316545844078064,0.0,0.0
56,11.40031853999244,-0.7312935590744019,0.0,0.0
57,11.600318409968168,-0.7321226000785828,0.0,0.0
58,11.800318399968091,-0.732733428478241,0.0,0.0
59,12.000318470003549,-0.7329598665237427,0.0,0.0
60,12.200318469956983,-0.7333894371986389,0.0,0.0
61,12.400318469968624,-0.7335906028747559,0.0,0.0
62,12.600318409968168,-0.7336766123771667,0.0,0.0
63,12.800318339955993,-0.7335411310195923,0.0,0.0
64,13.000318449980114,-0.7334869503974915,0.0,0.0
65,13.200318599992897,-0.7341026067733765,0.0,0.0
66,13.400318409956526,-0.7327050566673279,0.0,0.0
67,13.600318409968168,-0.7304337024688721,0.0,0.0
68,13.800318599969614,-0.7303033471107483,0.0,0.0
69,14.000318389968015,-0.7305881381034851,0.0,0.0
70,14.200318349990994,-0.7319578528404236,0.0,0.0
71,14.400318350002635,-0.7317776679992676,0.0,0.0
72,14.600318519980647,-0.7321327924728394,0.0,0.0
73,14.800318359979428,-0.7335758805274963,0.0,0.0
